"exclusion_group","record_id","workbook_no","name","name_ja","prefecture","municipality","travel_region","base_town","review_status","missing_essentials","official_url","status_evidence_url","evidence_as_of","review_notes"
"unclear_status_pending_authoritative_evidence","workbook:327","327","Yokote Park","","Akita","Yokote","","","unclear","missing_japanese_name; missing_official_url","","","2026-08-26","No authoritative current or recent season evidence was located.

Pass 4: Fourth pass searched Yokote municipal facility, council and education-committee material for 横手公園スキー場 and 廃止. A third-party page claims abolition, but no primary municipal abolition notice or current facility register identifying this row was located."
"unclear_status_pending_authoritative_evidence","workbook:383","383","Omagari","","Akita","Daisen","","","unclear","missing_coordinates; missing_japanese_name; missing_official_url","","","2026-08-26","No authoritative current-season evidence was located; this row was not silently equated with nearby Ohdai.

Pass 4: A 2026 local-news report says Daisen City Council passed abolition of Oomagari Family Ski Area, but the fourth pass did not locate the underlying city ordinance, council record, or operator closure notice. It is therefore discovery only under the evidence rule."
"unclear_status_pending_authoritative_evidence","workbook:429","429","Gojome Koiji","","Akita","Daisen","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name; missing_official_url","","","2026-08-26","No authoritative current-season evidence was located; the intake's Daisen municipality conflicts with the Gojome name.

Pass 4: Fourth pass searched Gojome Town facility, budget and notice pages for 五城目恋地スキー場 plus 廃止・閉鎖・休止. No authoritative current-status record was found."
"unclear_status_pending_authoritative_evidence","workbook:432","432","Oyasu Onsen","","Akita","Higashinaruse","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name; missing_official_url","","","2026-08-26","No authoritative current-season operating evidence or defensible merger target was located.

Pass 4: Fourth pass searched Yuzawa City records and operator sources for 小安温泉スキー場 and 秋ノ宮スキー場. No official document resolved this row's identity, operation, closure, or relationship to workbook:528."
"unclear_status_pending_authoritative_evidence","workbook:527","527","Moriyoshiyama Moriyoshi","","Akita","Kitaakita","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name; missing_official_url","","","2026-08-26","No authoritative current-season evidence or defensible relationship to Ani Ski Area was established.

Pass 4: Kitaakita City's 2026 records identify the operating 森吉山阿仁スキー場, but no official document identifies 森吉山森吉スキー場 as either that same facility or a separate current/closed facility."
"unclear_status_pending_authoritative_evidence","workbook:528","528","Akinomiya – Ogachi","","Akita","Yuzawa","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name; missing_official_url","","","2026-08-26","No authoritative current-season operating evidence was located.

Pass 4: Fourth pass searched Yuzawa City sports, tourism and budget notices for 秋ノ宮スキー場. No primary operation, closure, merger or facility-register evidence was found."
"unclear_status_pending_authoritative_evidence","workbook:437","437","Tohoh","","Aomori","Hiranai","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name","https://www.hotel-bismarck.com/?utm_source=Skiresort_de&utm_medium=cpc&utm_campaign=Skiresort_de","","2026-08-26","No authoritative current-season evidence or confident entity resolution was located.

Pass 4: Fourth pass searched Hiranai Town facility registers, budgets and notices for 東方スキー場. No authoritative source resolved the romanized intake name or a ski-facility status."
"verified_operating_missing_essentials","workbook:454","454","Soyumura 229 Ski Land","創遊村229スキーランド","Aomori","Hachinohe","aomori-regional","aomori-regional-hachinohe","verified_operating","missing_defensible_elevation","https://www.town.takko.lg.jp/index.cfm/11,0,37,164,html","https://www.town.takko.lg.jp/index.cfm/11,0,37,164,html","2026-08-26","No authoritative current-season evidence or confident municipality match was located."
"verified_operating_missing_essentials","workbook:455","455","Soma Romantopia Ski Area","そうまロマントピアスキー場","Aomori","Soma","aomori-regional","aomori-regional-hirosaki","verified_operating","missing_coordinates; missing_defensible_elevation","https://www.hyakuzawa-ski.com/soma.html","https://www.hyakuzawa-ski.com/5831.html","2026-08-26","The current ski-area operator site explicitly records completion of the 2025-26 season on 8 March 2026. Soma is a former locality now associated with Hirosaki."
"unclear_status_pending_authoritative_evidence","workbook:494","494","Iwakiyama","","Aomori","Hirakawa","","","unclear","missing_coordinates; missing_japanese_name; missing_official_url","","","2026-08-26","The generic name could overlap Mount Iwaki-area resorts, but it was not defensibly matched to workbook:20 or workbook:204. No merge is asserted.

Pass 4: Fourth pass searched Hirosaki and Hirakawa municipal records for 岩木山スキー場. The generic row cannot be assigned to a particular official Mount Iwaki operator without over-merging."
"unclear_status_pending_authoritative_evidence","workbook:22","22","JAM Fukui Katsuyama Mountain Resort","スキージャム勝山","Fukui","Katsuyama","","","unclear","","https://jamresort.jp/","https://www.japan47go.travel/en/detail/8ca355f7-05d9-4459-88cc-7e8ed7db86e6","2026-08-26","Current government-linked Japan 47 Go record gives explicit 2025-26 dates.

Pass 4: searched municipal facility registers, council/budget notices, operator-company pages, ticket/lift calendars and Japanese terms 廃止/閉鎖/休止/営業終了/統合. Pass 3: checked the operator/municipal source where available and searched Japanese facility name with 2025-26, 営業, 休業, 廃止, 閉鎖. Downgraded after source audit: the generic government-linked directory is not an operator status channel, and no operator or municipal 2026-27 operating notice was located. No additional dated authoritative notice established operation, closure, merger, or rename; generic directories were not relied upon."
"unclear_status_pending_authoritative_evidence","workbook:92","92","Fukui Izumi Ski Resort","福井和泉スキー場","Fukui","Fukui","","","unclear","","https://www.fukuiizumi.com/","https://www.japan47go.travel/en/detail/13831721-0626-4654-a59d-70ebc5472133","2026-08-26","Current government-linked Japan 47 Go record gives explicit 2025-26 dates; intake municipality “Fukui” is inconsistent.

Pass 4: searched municipal facility registers, council/budget notices, operator-company pages, ticket/lift calendars and Japanese terms 廃止/閉鎖/休止/営業終了/統合. Pass 3: checked the operator/municipal source where available and searched Japanese facility name with 2025-26, 営業, 休業, 廃止, 閉鎖. Downgraded after source audit: 2026-27 season-pass sales do not establish operation, and no explicit operator operating notice was located. No additional dated authoritative notice established operation, closure, merger, or rename; generic directories were not relied upon."
"unclear_status_pending_authoritative_evidence","workbook:219","219","Kuzuryu Ski Resort","九頭竜スキー場","Fukui","Ono","","","unclear","","https://www.kuzuryu-skiland.com/","https://www.fuku-e.com/en/attractions/detail_1297.html","2026-08-26","Fukui Prefecture’s official tourism guide maintains current operating hours and operator contact.

Pass 4: searched municipal facility registers, council/budget notices, operator-company pages, ticket/lift calendars and Japanese terms 廃止/閉鎖/休止/営業終了/統合. Pass 3: checked the operator/municipal source where available and searched Japanese facility name with 2025-26, 営業, 休業, 廃止, 閉鎖. Downgraded after source audit: generic tourism-guide hours do not establish a current season, and no operator or municipal 2026-27 operating notice was located. No additional dated authoritative notice established operation, closure, merger, or rename; generic directories were not relied upon."
"unclear_status_pending_authoritative_evidence","workbook:304","304","Shinbo Family Ski Resort","新保ファミリースキー場","Fukui","Takefu","","","unclear","","https://www.hotel-bismarck.com/?utm_source=Skiresort_de&utm_medium=cpc&utm_campaign=Skiresort_de","https://www.japan47go.travel/en/detail/5fbdf372-7bb0-4538-880f-e07148934fa0","2026-08-26","Recently updated government-linked tourism record supports continuing seasonal operation; intake municipality “Takefu” is inconsistent.

Pass 4: searched municipal facility registers, council/budget notices, operator-company pages, ticket/lift calendars and Japanese terms 廃止/閉鎖/休止/営業終了/統合. Pass 3: checked the operator/municipal source where available and searched Japanese facility name with 2025-26, 営業, 休業, 廃止, 閉鎖. Downgraded after source audit: the generic government-linked directory does not establish a current season, and the operator site showed only 2025-26 material. No additional dated authoritative notice established operation, closure, merger, or rename; generic directories were not relied upon."
"unclear_status_pending_authoritative_evidence","workbook:473","473","Moriyama Kogen","","Fukui","Obama","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name; missing_official_url","","","2026-08-26","No current/recent official season calendar or explicit official closure statement was located. Historical and third-party directory claims were not accepted as operating-status proof.

Pass 4: searched municipal facility registers, council/budget notices, operator-company pages, ticket/lift calendars and Japanese terms 廃止/閉鎖/休止/営業終了/統合. Pass 3: checked the operator/municipal source where available and searched Japanese facility name with 2025-26, 営業, 休業, 廃止, 閉鎖. Searched 森山高原スキー場 + 営業終了/閉鎖 and Obama/Fukui municipal sources; no current authoritative status statement found. No additional dated authoritative notice established operation, closure, merger, or rename; generic directories were not relied upon."
"unclear_status_pending_authoritative_evidence","workbook:309","309","Aizu Bange Choei","","Fukushima","Aizubange","","","unclear","missing_coordinates; missing_japanese_name; missing_official_url","","","2026-08-26","No current Aizubange municipal operation page or explicit municipal closure decision was located. Historical third-party pages were not treated as proof.

Pass 4: Fourth pass searched Aizubange Town facility, council and budget records for 会津坂下町営スキー場. No authoritative status notice was found."
"unclear_status_pending_authoritative_evidence","workbook:326","326","Yokomuki Onsen","横向温泉スキー場","Fukushima","Minamiaizu","","","unclear","missing_official_url","","","2026-08-26","No maintained operator or municipal ski page was found. The existence of accommodation at Yokomuki Onsen is not operating-status evidence for a ski area.

Pass 4: Fourth pass searched municipal and operator sources for 横向温泉スキー場. The sources found concern accommodation, not an evidenced ski-area operation, closure, or merger."
"unclear_status_pending_authoritative_evidence","workbook:448","448","Showa Sonei","","Fukushima","Mishima","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name; missing_official_url","","","2026-08-26","No current Showa Village municipal operating calendar was located; third-party forecast pages were not accepted as status proof.

Pass 4: Fourth pass searched Showa Village facility registers and education/sports notices for 昭和村営スキー場. Ski-club lessons at other facilities do not establish this row's facility status."
"unclear_status_pending_authoritative_evidence","workbook:453","453","Shirakawa Kogen","","Fukushima","Nishi-Shirakawa","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name; missing_official_url","","","2026-08-26","The name is not sufficient to connect this intake row to a maintained official operator or municipal ski page.

Pass 4: Fourth pass searched Shirakawa-area municipal records for 白河高原スキー場, including closure and facility-register terms. No official source resolved the entity."
"unclear_status_pending_authoritative_evidence","workbook:547","547","Kitakatashi Gobuichi","","Fukushima","Kitakata","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name; missing_official_url","","","2026-08-26","Multiple historical directories say Gobuichi closed in 2001, but the required official operator or municipal evidence was not found; conservatively left unclear.

Pass 4: Fourth pass searched Kitakata City facility, council and archive material for 五分一スキー場. Historical directory closure statements remain insufficient without an official record."
"unclear_status_pending_authoritative_evidence","workbook:258","258","Motai","母袋温泉スキー場","Gifu","Gero","","","unclear","","https://www.outdoor-in-motai.com/%E3%82%B9%E3%82%AD%E3%83%BC%E5%A0%B4","","2026-08-26","The operator facility page describes the ski area but gives no dated season status; the only 2025-26 claim found was on a generic tourism directory.

Pass 4: Rechecked operator facility pages and Gifu/Gujo public sources; no dated operator, municipal, or facility-register ski status was found."
"unclear_status_pending_authoritative_evidence","workbook:282","282","Hida Highland","","Gifu","Hida","","","unclear","missing_japanese_name; missing_official_url","","","2026-08-26","No current official operating-status evidence located; intake municipality may also need correction.

Pass 4: Rechecked Hida municipal registers, PDFs, and closure terms; no authoritative facility identity or status record was found."
"unclear_status_pending_authoritative_evidence","workbook:325","325","Itoshiro","","Gifu","Gujo","","","unclear","missing_japanese_name; missing_official_url","","","2026-08-26","No current official evidence located for a separate ski area under this name.

Pass 4: Rechecked Itoshiro variants against municipal facility records and closure notices; no exact authoritative ski-area identity was found."
"unclear_status_pending_authoritative_evidence","workbook:378","378","Youland – Sakauchi","","Gifu","Ibigawa","","","unclear","missing_japanese_name; missing_official_url","","","2026-08-26","Only non-official historical evidence of discontinued operation was located; official closure proof was not found.

Pass 4: Rechecked Ibigawa/Sakauchi municipal sources and closure terminology; no official discontinued-operation notice was located."
"unclear_status_pending_authoritative_evidence","workbook:431","431","Isshiki Kokusai","","Gifu","Gujo","","","unclear","missing_coordinates; missing_japanese_name; missing_official_url","","","2026-08-26","No current official operating-status or closure evidence located.

Pass 4: Rechecked Gifu municipal facility registers and closure terms for Isshiki Kokusai; no authoritative status record was found."
"unclear_status_pending_authoritative_evidence","workbook:497","497","Shirakigamine","","Gifu","Shirakawa","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name; missing_official_url","","","2026-08-26","No current official operating-status or closure evidence located.

Pass 4: Rechecked municipal sports/facility sources and closure terms for Shirakigamine; no authoritative status evidence was found."
