country,region,mountain_id,name,old_live_m,new_runtime_m,audit_suggested_m,base_m,summit_m,status,reason,source_url,checked_at,source_type
"US","bear-valley","bear-valley-mountain-resort","Bear Valley Mountain Resort","1712","2302","2302","2012","2591","matched","Published region elevation agrees with audit","","",""
"US","big-bear","bear-mountain","Bear Mountain","1876","2431","2430","2176","2685","matched","Published region elevation agrees with audit","","",""
"US","cache-valley","beaver-mountain","Beaver Mountain","1882","2442","2442","2182","2701","matched","Published region elevation agrees with audit","","",""
"US","cottonwood-canyons","alta","Alta","2300","2987","2987","2600","3374","matched","Published region elevation agrees with audit","","",""
"US","cottonwood-canyons","brighton-resort","Brighton","2369","2935","2934","2669","3200","matched","Published region elevation agrees with audit","","",""
"US","grand-targhee","grand-targhee-resort","Grand Targhee Resort","2093","2700","2700","2393","3006","matched","Published region elevation agrees with audit","","",""
"US","jackson-hole","jackson-hole-mtn-resort","Jackson Hole Mountain Resort","1635","2555","2554","1924","3185","matched","Published region elevation agrees with audit","","",""
"US","jackson-hole","snow-king-mountain","Snow King Mountain","1616","2141","2140","1901","2380","matched","Published region elevation agrees with audit","","",""
"US","jay-peak-nek","burke-mountain","Burke Mountain","314","683","682","369","996","matched","Published region elevation agrees with audit","","",""
"US","jay-peak-nek","jay-peak","Jay Peak","470","881","881","553","1209","matched","Published region elevation agrees with audit","","",""
"US","killington-pico","killington-resort","Killington","302","824","824","355","1293","matched","Published region elevation agrees with audit","","",""
"US","killington-pico","pico-mountain","Pico Mountain","518","910","910","610","1209","matched","Published region elevation agrees with audit","","",""
"US","mad-river-valley","mad-river-glen","Mad River Glen","415","799","798","488","1109","matched","Published region elevation agrees with audit","","",""
"US","mad-river-valley","sugarbush","Sugarbush","408","862","862","480","1244","matched","Published region elevation agrees with audit","","",""
"US","mammoth-lakes","mammoth-mountain","Mammoth Mountain","2123","2896","2896","2423","3369","matched","Published region elevation agrees with audit","","",""
"US","north-lake-tahoe","palisades-tahoe","Palisades Tahoe","1606","2324","2324","1890","2758","matched","Published region elevation agrees with audit","","",""
