address,amenities,booking_links.agoda,booking_links.airbnb,booking_links.booking_com,booking_links.expedia,booking_links.jalan,booking_links.official,booking_links.rakuten,check_in,check_out,country,distance_to_perisher_km,distance_to_skitube_km,distance_to_thredbo_km,drive_min_to_each_mountain.charlotte_pass,drive_min_to_each_mountain.kita_shiga_kogen,drive_min_to_each_mountain.kita_shiga_komaruyama,drive_min_to_each_mountain.okushiga_kogen,drive_min_to_each_mountain.perisher,drive_min_to_each_mountain.perisher_via_oversnow,drive_min_to_each_mountain.perisher_via_skitube,drive_min_to_each_mountain.ryuoo,drive_min_to_each_mountain.ryuoo_ski_park,drive_min_to_each_mountain.shiga_kogen,drive_min_to_each_mountain.shiga_kogen_hasuike,drive_min_to_each_mountain.shiga_kogen_main_area,drive_min_to_each_mountain.shiga_kogen_okushiga,drive_min_to_each_mountain.thredbo,drive_min_to_each_mountain.xjam_takai_fuji,drive_min_to_each_mountain.yakebitai,drive_min_to_each_mountain.yomase_mount_jeans,drive_min_to_each_mountain.yomase_onsen,drive_min_to_each_mountain.yomase_onsen_xjam,drive_min_to_nearest_mountain,drying_room,english_spoken,id,lat,lng,long_description,meal_plan,name,name_local,nearest_mountain,notes,onsen,pet_friendly,phone,photos,price_band,region,room_count,self_contained,short_description,ski_storage,source_urls,tattoo_policy,town,type,walk_min_to_yudanaka_station,website,yukata_provided
"1650 Alpine Way, Crackenback NSW 2627",indoor pool | heated pool | day spa | sauna | gym | tennis court | restaurant | bar | BBQ facilities | laundry | free wifi | free parking | fireplace (select rooms) | private balcony | fully equipped kitchen,https://www.agoda.com/search?q=Lake+Crackenback+Resort+Jindabyne,https://www.airbnb.com.au/s/Crackenback--NSW/homes?query=Lake+Crackenback+Resort,https://www.booking.com/searchresults.html?ss=Lake+Crackenback+Resort+Spa+Jindabyne,https://www.expedia.com.au/Hotel-Search?destination=Lake+Crackenback+Resort+Jindabyne,,https://www.oakshotels.com/en/oaks-lake-crackenback-resort,,15:00,10:00,AU,20,0.5,20,45,,,,,,20,,,,,,,15,,,,,,20,yes,yes,lake-crackenback-resort,-36.4697,148.4862,"Nestled in the Thredbo Valley on the banks of the Thredbo River, Lake Crackenback Resort & Spa offers studio apartments, chalets and lakeview apartments, all fully self-contained with kitchens and private balconies. Guests can unwind at the full-service day spa, indoor heated pool, gym, sauna and on-site restaurant. The resort sits a 15-minute drive from Thredbo and has private driveway access to Bullocks Flat Skitube terminal (0.5km), making it uniquely central to all three major ski fields.",,Lake Crackenback Resort & Spa (Oaks),,Perisher (via Skitube),,,no,+61 2 6451 3000,https://www.oakshotels.com/media/hotels/LCR/property/oaks-lake-crackenback-resort-exterior-1920x1080.jpg | https://www.oakshotels.com/media/hotels/LCR/rooms/oaks-lake-crackenback-resort-chalet-living-1920x1080.jpg,$$$$,snowy_mountains,150,yes,"4.5-star alpine resort on 150 acres bordering Kosciuszko National Park, with spa, indoor pool and direct access to Skitube.",yes,https://www.oakshotels.com/en/oaks-lake-crackenback-resort | https://www.booking.com/hotel/au/lake-crackenback-resort-amp-spa.html | https://www.trivago.com/en-US/oar/oaks-lake-crackenback-resort-jindabyne?search=100-246071,,jindabyne,lodge,,https://www.oakshotels.com/en/oaks-lake-crackenback-resort,
"1 Kosciuszko Road, Jindabyne NSW 2627",restaurant (2) | bar (3) | brewery on site | free wifi | free parking | flat screen TV | refrigerator | baggage storage | continental breakfast included | live music | nightclub/DJ events | pool table,https://www.agoda.com/search?q=Banjo+Paterson+Inn+Jindabyne,,https://www.booking.com/hotel/au/banjo-paterson.html,https://www.expedia.com.au/Hotel-Search?destination=Banjo+Paterson+Inn+Jindabyne,,https://www.banjopatersoninn.com.au,,14:00,10:00,AU,33,32,36,55,,,,,,28,,,,,,,32,,,,,,30,yes,yes,banjo-paterson-inn,-36.4144,148.6119,"A true Snowy Mountains institution, the Banjo Paterson Inn sits in the heart of Jindabyne with lakeside views and vibrant pub atmosphere. Rooms range from budget doubles to family loft suites, and guests have immediate access to Clancy's Brasserie, The Overflow burger-and-pizza bar, and the multi-award-winning Kosciuszko Brewhouse. Live music, nightly events and a continental breakfast (boxed, in-room) make this a lively choice for ski groups and families alike.",,Banjo Paterson Inn,,Perisher,,,no,,https://www.banjopatersoninn.com.au/wp-content/uploads/2023/05/Banjo-Paterson-Inn-Exterior.jpg,$$,snowy_mountains,40,no,"Iconic Jindabyne pub-hotel with 40 rooms, two restaurants, three bars and Kosciuszko Brewhouse on site.",yes,https://www.banjopatersoninn.com.au | https://www.booking.com/hotel/au/banjo-paterson.html | https://www.tripadvisor.com/Hotel_Review-g261617-d1509898-Reviews-Banjo_Paterson_Inn-Jindabyne_New_South_Wales.html,,jindabyne,hotel,,https://www.banjopatersoninn.com.au,
"62 Kosciusko Road, Jindabyne NSW 2627",indoor heated pool | tennis court | gym | ski storage | restaurant (Embers Fireside) | bar (Squires Cocktail Bar) | beer garden | free breakfast | free wifi | free parking | washer/dryer in rooms | conference facilities | beauty salon | fireplace in lobby | full kitchen in rooms | private balcony | lake views,https://www.agoda.com/search?q=Horizons+Lake+Jindabyne,,https://www.booking.com/searchresults.html?ss=Horizons+Lake+Jindabyne,https://www.expedia.com/Jindabyne-Hotels-Rydges-Horizons-Snowy-Mountains.h573982.Hotel-Information,,https://www.horizonslakejindabyne.com.au,,15:00,10:00,AU,33,32,36,55,,,,,,28,,,,,,,32,,,,,,28,yes,yes,horizons-lake-jindabyne,-36.417,148.607,"Horizons Lake Jindabyne (previously known as Rydges Horizons Snowy Mountains) is Jindabyne's largest full-service hotel, offering 120 individually decorated apartments with full kitchens, washing machines and lake-facing balconies. The property features an indoor heated pool, outdoor tennis court, gym, ski equipment storage, two dining venues (including the premium Embers Fireside Restaurant) and two bars. Free breakfast is included in most room rates, making it great value for ski families.",,Horizons Lake Jindabyne,,Perisher,,,no,+61 2 6456 2562,https://www.horizonslakejindabyne.com.au/wp-content/uploads/2024/03/Horizons-Lake-Jindabyne-Exterior.jpg,$$$,snowy_mountains,120,yes,"4-star hotel formerly Rydges Horizons with 120 lake-view apartments, indoor pool, two restaurants and complimentary breakfast.",yes,https://www.horizonslakejindabyne.com.au | https://www.expedia.com/Jindabyne-Hotels-Rydges-Horizons-Snowy-Mountains.h573982.Hotel-Information | https://www.tripadvisor.com/Hotel_Review-g261617-d4378131-Reviews-Horizons_Lake_Jindabyne-Jindabyne_New_South_Wales.html,,jindabyne,hotel,,https://www.horizonslakejindabyne.com.au,
"8228 Snowy River Way, Jindabyne NSW 2627",restaurant | bar (3 bars) | guest laundry | free parking | ski rental | free wifi | TV | bar fridge (motel rooms) | full kitchen (apartments) | dishwasher (2BR apartments),https://www.agoda.com/search?q=The+Station+Jindabyne,,https://www.booking.com/hotel/au/the-station.html,https://www.expedia.com/Jindabyne-Hotels-The-Station.h9623837.Hotel-Information,,https://www.perisher.com.au/the-station,,16:00,10:00,AU,26,25,43,50,,,,,,22,,,,,,,40,,,,,,22,yes,yes,the-station-resort,-36.462,148.58,"The Station is run by Perisher Resort and sits 7km south of Jindabyne town centre on Snowy River Way. It offers no-frills motel rooms and self-contained one and two-bedroom apartments, ideal for budget ski groups. On-site facilities include a restaurant, bar, guest laundry and free parking. Reception is open until midnight (2am Fridays), and Epic Australia Pass holders receive 15% off motel rates.",,The Station (Snow Stay),,Perisher,,,no,,,$,snowy_mountains,,yes,"Budget-friendly Perisher-owned motel and apartment resort 7km from Jindabyne town, with restaurant, bar and shuttle connections.",yes,https://www.perisher.com.au/the-station | https://www.tripadvisor.com/Hotel_Review-g261617-d1486963-Reviews-The_Station-Jindabyne_New_South_Wales.html | https://www.booking.com/hotel/au/the-station.html,,jindabyne,lodge,,https://www.perisher.com.au/the-station,
"Kosciuszko Road, Charlotte Pass, Kosciuszko National Park NSW 2630",ski-in ski-out | restaurant | bar/lounge | live music | open fireplace | kids club (complimentary) | babysitting | lift passes (included in winter package) | oversnow transport (included in winter package) | free wifi,https://www.agoda.com/search?q=Kosciuszko+Chalet+Hotel+Charlotte+Pass,,https://www.booking.com/searchresults.html?ss=Kosciuszko+Chalet+Hotel+Charlotte+Pass,https://www.expedia.com.au/Hotel-Search?destination=Kosciuszko+Chalet+Hotel+Charlotte+Pass,,https://charlottepass.com.au/accommodation/kosciuszko-chalet-hotel/,,,,AU,20,20,,0,,,,,30,,,,,,,,,,,,,,0,yes,yes,kosciuszko-chalet-hotel,-36.435,148.339,"Situated at the heart of Charlotte Pass Village at around 1755m elevation, the Kosciuszko Chalet Hotel is Australia's most remote and highest alpine lodge, accessible only by oversnow transport from Perisher in winter. Winter packages include oversnow transfer, lift passes, daily breakfast and a three-course à la carte dinner, plus complimentary Kids Club running to 9pm. The historic property has a cosy lounge with open fireplace, live music and bar; room types range from classic rooms sleeping up to 6 to luxury suites.",,Kosciuszko Chalet Hotel,,Charlotte Pass,,,no,,https://charlottepass.com.au/wp-content/uploads/2022/06/Charlotte-Pass-Kosciuszko-Chalet-Hotel-1.jpg,$$$$,snowy_mountains,,no,Historic ski-in ski-out lodge at Charlotte Pass – Australia's highest resort – with all-inclusive winter packages including meals and lift passes.,yes,https://charlottepass.com.au/accommodation/kosciuszko-chalet-hotel/ | https://www.tripadvisor.com/Hotel_Review-g1216438-d1216624-Reviews-Kosciuszko_Chalet_Hotel-Charlotte_Pass_Kosciuszko_National_Park_New_South_Wales.html | https://www.visitnsw.com/destinations/snowy-mountains/kosciuszko-national-park/charlotte-pass/accommodation/kosciuszko-chalet-hotel,,jindabyne,lodge,,https://charlottepass.com.au/accommodation/kosciuszko-chalet-hotel/,
"21 McLure Circuit, Jindabyne NSW 2627",restaurant/bistro | bar | sauna | indoor pool | games room | library | playground | darts | billiards | outdoor terrace | lake views | free breakfast | free wifi | free parking | wheelchair access,https://www.agoda.com/search?q=Lake+Jindabyne+Hotel,,https://www.booking.com/hotel/au/lake-jindabyne.html,https://www.expedia.com.au/Hotel-Search?destination=Lake+Jindabyne+Hotel,,,,15:00,10:00,AU,33,32,36,55,,,,,,28,,,,,,,32,,,,,,28,yes,yes,lake-jindabyne-hotel,-36.4138,148.6228,"Occupying a prime position on McLure Circuit at the water's edge, the Lake Jindabyne Hotel combines affordable motel-style rooms with a well-regarded bistro, sauna, indoor pool, games room and outdoor terrace with sweeping lake views. Rooms are modest but clean, and free breakfast is included. The bistro is famous locally for generous steaks and pub classics, and the outdoor lakeside terrace is a favourite apres-ski spot.",,Lake Jindabyne Hotel,,Perisher,,,no,+61 2 6456 2203,,$$,snowy_mountains,40,no,"Lakefront pub-hotel with 40 rooms, popular bistro and sauna, rated #1 hotel in Jindabyne on Tripadvisor.",yes,https://www.tripadvisor.com/Hotel_Review-g261617-d1052830-Reviews-Lake_Jindabyne_Hotel-Jindabyne_New_South_Wales.html | https://www.booking.com/hotel/au/lake-jindabyne.html,,jindabyne,hotel,,,
"18 Clyde Street, Jindabyne NSW 2627",ensuite bathroom | balcony or terrace (all rooms) | lake views (select rooms) | fireside lounge | beauty therapy | hot buffet breakfast | free wifi | flat screen TV | refrigerator | tea/coffee,https://www.agoda.com/search?q=Jindy+Inn+Jindabyne,,https://www.booking.com/searchresults.html?ss=Jindy+Inn+Jindabyne,https://www.expedia.com.au/Hotel-Search?destination=Jindy+Inn+Jindabyne,,,,14:00,10:00,AU,33,32,36,55,,,,,,28,,,,,,,32,,,,,,28,yes,yes,jindy-inn,-36.4148,148.6143,"The Jindy Inn sits on Clyde Street, a short stroll from Jindabyne town centre and within walking distance of cafes, bars and restaurants. All 14 rooms are ensuite and feature either a balcony with lake views or a terrace onto a rose garden. A cosy fireside lounge makes it popular in winter, and the property offers beauty therapy, waxing and facial services. A hot buffet breakfast is served daily, making it ideal for ski-day fuelling.",,Jindy Inn,,Perisher,,,no,,,$,snowy_mountains,14,no,"Rated #1 B&B/Inn in Jindabyne on Tripadvisor – 14-room boutique motel with lake views, fireside lounge and beauty therapy.",yes,https://www.tripadvisor.com/Hotel_Review-g261617-d1845480-Reviews-Jindy_Inn-Jindabyne_New_South_Wales.html,,jindabyne,hotel,,,
"6532 Kosciuszko Road, Jindabyne NSW 2627",BBQ facilities | laundry | playground | dump point | kiosk/store | family bathroom | hire equipment | bike station | tennis court | bouncing pillow | lake views | foreshore walking path | powered/unpowered sites | self-contained cabins with full kitchen | fireplace (deluxe cabins) | free parking,https://www.agoda.com/search?q=Discovery+Parks+Jindabyne,,https://www.booking.com/searchresults.html?ss=Discovery+Parks+Jindabyne,https://www.expedia.com/Jindabyne-Hotels-Discovery-Parks-Jindabyne.h9085583.Hotel-Information,,https://www.discoveryholidayparks.com.au/caravan-parks/new-south-wales/snowy-mountains/jindabyne,,14:00,10:00,AU,33,32,36,55,,,,,,28,,,,,,,32,,,,,,28,no,yes,discovery-holiday-park-jindabyne,-36.4085,148.625,"Perched on the shores of Lake Jindabyne, Discovery Parks offers powered and unpowered camping sites alongside modern self-contained cabins ranging from budget to deluxe two-bedroom with fireplace. The park is well-maintained with a kiosk, laundry, bike station, playground and tennis court. Cabins have full kitchens and the lakefront location means you can walk or cycle the foreshore path into town. Pets are allowed seasonally (summer).",,Discovery Holiday Park – Jindabyne,,Perisher,,,yes,+61 2 6456 2099,,$,snowy_mountains,,yes,"Lakefront caravan park and cabin resort with BBQ, laundry, bouncing pillow and lake access; 20 min to ski resorts.",no,https://www.discoveryholidayparks.com.au/caravan-parks/new-south-wales/snowy-mountains/jindabyne | https://www.tripadvisor.com/Hotel_Review-g261617-d1763061-Reviews-Discovery_Parks_Jindabyne-Jindabyne_New_South_Wales.html | https://www.expedia.com/Jindabyne-Hotels-Discovery-Parks-Jindabyne.h9085583.Hotel-Information,,jindabyne,apartment,,https://www.discoveryholidayparks.com.au/caravan-parks/new-south-wales/snowy-mountains/jindabyne,
Jindabyne NSW 2627,full kitchen | lounge area | free parking | BBQ facilities | free wifi | ski storage,https://www.agoda.com/search?q=Aspen+Chalets+Jindabyne,https://www.airbnb.com.au/s/Jindabyne--NSW/homes?query=Aspen+Chalets,https://www.booking.com/searchresults.html?ss=Aspen+Chalets+Jindabyne,https://www.expedia.com.au/Hotel-Search?destination=Aspen+Chalets+Jindabyne,,https://aspenchalet.au,,15:00,10:00,AU,33,32,36,55,,,,,,28,,,,,,,32,,,,,,28,yes,yes,aspen-chalets-jindabyne,-36.416,148.61,"Aspen Chalets offers a collection of fully self-contained chalet and apartment-style properties in and around Jindabyne, each equipped with full kitchens, lounge areas and parking. Properties vary in size from studio to multi-bedroom configurations, catering to couples and large groups. The chalet aesthetic – with ski storage, mountain décor and proximity to town – makes them a perennial favourite for ski season.",,Aspen Chalets,,Perisher,,,,,,$$$,snowy_mountains,,yes,"Self-contained chalet-style apartments in Jindabyne, popular with families seeking home-away-from-home ski accommodation.",yes,https://aspenchalet.au | https://onsnow.com.au/accommodation/perisher/3-bedroom-apartment-aspen-chalet-heidis-apartments/,,jindabyne,apartment,,https://aspenchalet.au,
"1 Lucas Street, Adaminaby NSW 2629",restaurant | log fireplace | guest lounge | billiards table | arcade games | tennis court | recreation room | free wifi | free parking | memory foam beds | TV,https://www.agoda.com/search?q=Snowy+Mountains+Resort+Adaminaby,,https://www.booking.com/searchresults.html?ss=Snowy+Mountains+Resort+Function+Centre+Adaminaby,https://www.expedia.com.au/Hotel-Search?destination=Snowy+Mountains+Resort+Adaminaby,,https://snowy-mountains-resort-and-function-cent.mydirectstay.com,,,,AU,,,,60,,,,,,65,,,,,,,90,,,,,,60,,yes,snowy-mountains-resort-function-centre,-36.001,148.77,"Located in the heritage township of Adaminaby, 45km north of Jindabyne, the Snowy Mountains Resort & Function Centre is a family-run property popular for weddings, functions and ski-season stopovers. Rooms feature memory foam beds, flat-screen TVs and tea/coffee facilities, and the restaurant serves cooked-to-order breakfast. A log fireplace in the guest lounge, billiards table and arcade games round out the facilities. Note: this property is best suited as a base for Charlotte Pass or Selwyn Snowfields rather than Thredbo/Perisher.",,Snowy Mountains Resort & Function Centre,,Charlotte Pass / Selwyn,,,,,,$$,snowy_mountains,,no,"3-star country hotel in Adaminaby with log fireplace, restaurant, recreation room and proximity to Lake Eucumbene.",,https://snowy-mountains-resort-and-function-cent.mydirectstay.com | https://www.hotels.com/ho501017/snowy-mountains-resort-and-function-centre-adaminaby-australia/,,jindabyne,hotel,,https://snowy-mountains-resort-and-function-cent.mydirectstay.com,
