"prefecture","canonical_name","normalized_identity","coverage_disposition","source_membership","source_original_names","source_urls","retrieval_dates","operating_evidence_status","operating_evidence_url","operating_evidence_as_of","feelzlike_urls","exceptions"
"Aichi","Aichi Quest – Kasugai","aichiquestkasugai","out_of_scope","japan-ski-resorts-558 | skiresort-japan-directory","Aichi Quest – Kasugai | Aichi Quest – Kasugai (dry slopes)","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/aichi-quest-kasugai/","2026-07-13 | 2026-08-24","unresolved","","","",""
"Aichi","Chausuyama Kogen Ski Area","chausuyamakogentoyonemura","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Chausuyama Kogen – Toyone-mura | Chausuyama Kogen – Toyone-mura | Chausuyama Kōgen Ski Area | Chausuyama Kōgen Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/chausuyama-kogen-toyone-mura/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://chausuyama.jp/","2026-08-26","/gifu-aichi/mountain/chausuyama-kogen-ski-area",""
"Akita","Akinomiya – Ogachi","akinomiyaogachi","unresolved","japan-ski-resorts-558","Akinomiya – Ogachi","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx","2026-07-13","unclear","","2026-08-26","",""
"Akita","Akita Hachimantai Ski Area","akitahachimantai","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Akita-Hachimantai | Akita-Hachimantai | Akita Hachimantai Ski Area | Akita Hachimantai Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/akita-hachimantai/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://www.akihachi.jp/","2026-08-26","/akita-regional/mountain/akita-hachimantai-ski-area",""
"Akita","Akita Prefecture Tazawako Ski Area","akitaprefecturetazawakoskiarea","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Akita Prefecture Tazawako Ski Area | Akita Prefecture Tazawako Ski Area","https://en.wikipedia.org/wiki/Lake_Tazawa | https://en.wikipedia.org/wiki/Lake_Tazawa","2026-08-26 | 2026-08-26","unresolved","","","",""
"Akita","Ani Ski Area","animtmoriyoshi","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Ani – Mt. Moriyoshi | Ani – Mt. Moriyoshi | Ani Ski Area | Ani Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/ani-mt-moriyoshi/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://www.aniski.jp/2026/01/14/post-507/","2026-08-26","/akita-regional/mountain/ani-ski-area",""
"Akita","Ani Ski Area","moriyoshiyamaani","merged_or_renamed","japan-ski-resorts-558","Moriyoshiyama Ani","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx","2026-07-13","merged_into","https://www.city.kitaakita.akita.jp/archive/p20241204134703","2026-08-26","",""
"Akita","Chokai Kogen Yashima Ski Area","chokaikogenyashima","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Chokai Kogen Yashima | Chokai Kogen Yashima | Chōkai Kōgen Yashima Ski Area | Chōkai Kōgen Yashima Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/chokai-kogen-yashima/ | https://en.wikipedia.org/wiki/Mount_Chōkai | https://en.wikipedia.org/wiki/Mount_Chōkai","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://ski.city.yurihonjo.lg.jp/post-2154/","2026-08-26","/akita-regional/mountain/chokai-kogen-yashima-ski-area",""
"Akita","Chokai Okojoland","chokaiokojoland","unresolved","japan-ski-resorts-558 | skiresort-japan-directory","Chokai Okojoland | Chokai Okojoland (temporarily closed)","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/chokai-okojoland/","2026-07-13 | 2026-08-24","unresolved","","","",""
"Akita","Fujisato Town Ski Area","fujisatochoei","closed","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Fujisato Choei | Fujisato Choei | Fujisato Town Ski Area | Fujisato Town Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/fujisato-choei/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","closed","https://www.town.fujisato.akita.jp/kanko/notices/3201","2026-08-26","",""
