address,apres_ski,country,cuisine,english_menu,groceries,hours.closed,hours.dinner,hours.friday,hours.lunch,hours.monday,hours.morning,hours.note,hours.saturday,hours.sunday,hours.thursday,hours.tuesday,hours.wednesday,id,kid_friendly,last_order_time,lat,lng,long_description,name,name_local,notes,payment,phone,photos,price_band,region,reservation,reservation_link,short_description,signature_dishes,source_urls,takeaway,town,type,vegetarian_friendly,website
"Nuggets Crossing Courtyard, 6 Kosciuszko Road, Jindabyne NSW 2627",no,AU,bakery | cafe,yes,no,,,05:30–18:00,,05:30–18:00,,,05:30–18:00,05:30–18:00,05:30–18:00,05:30–18:00,05:30–18:00,sundance-bakehouse-jindabyne,,17:45,-36.4148,148.61,"Sundance Bakehouse is the Snowy Mountains institution that skiers line up for before heading to the mountain. Opening at 5:30am daily – earlier than any other food outlet in Jindabyne – it serves freshly baked pies, pastries, gourmet sandwiches, rolls, slices and seriously good coffee. The Jindabyne flagship is in Nuggets Crossing Courtyard; sister stores open in winter at Bullocks Flat Skitube terminal and Perisher Valley. Famous locally for its pies and its early-morning ritual.",Sundance Bakehouse,,,cards_accepted,+61 2 6456 2951,,$,snowy_mountains,not_needed,,Cult Jindabyne bakery open from 5:30am – the earliest breakfast stop in town for ski-day mornings.,freshly baked pies | pastries | gourmet sandwiches and rolls | slices | takeaway coffee,http://www.sundancebakehouse.com.au | https://www.tripadvisor.com/Restaurant_Review-g261617-d3318458-Reviews-Sundance_Bakehouse-Jindabyne_New_South_Wales.html | https://www.australiantraveller.com/nsw/snowy-mountains/jindabyne/jindabyne-restaurants/,yes,jindabyne,bakery,,http://www.sundancebakehouse.com.au
"Shop 3, Nuggets Crossing Shopping Centre, 13 Kalkite Street, Jindabyne NSW 2627",no,AU,bakery | cafe,yes,no,,,,,,,,,,,,,nimmitabel-bakery-jindabyne,,,-36.4148,148.6095,"Nimmitabel Bakery has been using traditional baking methods since 1950 in the heritage town of Nimmitabel. Its Jindabyne outpost in Nuggets Crossing Shopping Centre has a cosy fireplace, making it an ideal morning stop before or after the mountain. Signature items include brekky wraps, homemade pies, and picnic hampers filled with pastries and snacks. Coffee is made with Seven Miles' Black Mountain beans.",Nimmitabel Bakery,,,cards_accepted,,,$,snowy_mountains,not_needed,,"Traditional bakery founded in 1950, now with a cosy Jindabyne outpost featuring a fireplace and Seven Miles coffee.",brekky wrap | homemade pie | picnic hampers | Seven Miles Black Mountain coffee,https://www.australiantraveller.com/nsw/snowy-mountains/jindabyne/jindabyne-restaurants/,yes,jindabyne,bakery,,
"Unit 3/3 Gippsland Street, Jindabyne NSW 2627",no,AU,modern Australian | cafe | brunch,yes,no,,,07:00–14:00,,07:00–14:00,,,07:00–14:00,07:00–14:00,07:00–14:00,07:00–14:00,07:00–14:00,birchwood-cafe-jindabyne,,13:45,-36.4161,148.6133,"Birchwood is consistently rated the best cafe in Jindabyne for brunch and lunch. The menu spans granola bowls, avo on toast, Turkish eggs, B&E rolls, creamy soups, poke bowls and burgers, with alcohol available from 10am. Their standout ski-day Lunch Packs (sandwich, juice, veggie sticks, fruit, sweet slice) make packing mountain food effortless. Single O beans coffee and house-made kombucha complete the offering. Open 7am–2pm daily.",Birchwood,,,cards_accepted,+61 2 6456 1880,,$$,snowy_mountains,not_needed,,Best brunch spot in Jindabyne – modern Australian fusion cafe on Gippsland St with Single O coffee and all-day ski-day lunch packs.,Turkish eggs | avo on toast | B&E roll | poke bowl | burger | ski-day Lunch Packs | Single O coffee,https://www.birchwoodjindabyne.au | https://www.tripadvisor.com/Restaurant_Review-g261617-d10400358-Reviews-Birchwood_Cafe-Jindabyne_New_South_Wales.html | https://www.australiantraveller.com/nsw/snowy-mountains/jindabyne/jindabyne-restaurants/,yes,jindabyne,cafe,,https://www.birchwoodjindabyne.au
"49 Kosciuszko Road (Snowy Region Visitor Centre), Jindabyne NSW 2627",no,AU,cafe | modern Australian,yes,no,,,06:30–16:00,,06:30–16:00,,,06:30–16:00,08:00–15:00,06:30–16:00,06:30–16:00,06:30–16:00,parc-cafe-jindabyne,,15:45,-36.4148,148.6095,"Parc Cafe sits inside the Snowy Region Visitor Centre on Kosciuszko Road, making it the ideal first stop before collecting national park day passes. Open from 6:30am Monday–Saturday and 8am Sundays, it serves Madding Crowd coffee, organic juices, smoothies, big brekkies, burritos, sambos and wraps. Local Jindabyne Brewing Co beers and Shut the Gate wines are also on tap. Live music runs in summer and the cafe is available for private functions in the evening.",Parc Cafe,,,cards_accepted,+61 2 6456 2517,,$,snowy_mountains,not_needed,,All-day cafe at the Snowy Region Visitor Centre open from 6:30am – one of the earliest coffee stops before heading to the mountain.,big brekkie | burritos | wraps | Madding Crowd coffee | local craft beer,https://www.parcjindy.com.au | https://www.nationalparks.nsw.gov.au/things-to-do/cafes-and-kiosks/parc-cafe | https://www.tripadvisor.com/Restaurant_Review-g261617-d4497203-Reviews-Parc-Jindabyne_New_South_Wales.html,yes,jindabyne,cafe,,https://www.parcjindy.com.au
"Corner of Wollondibby Road and The Alpine Way, Crackenback NSW 2627",yes,AU,cafe | Austrian-influenced | distillery,yes,no,,,cafe open,,closed,,,cafe open,cafe open,cafe open,distillery door only,distillery door only,wildbrumby-distillery-cafe,,,-36.452,148.487,"Located on the Alpine Way between Jindabyne and Thredbo, Wildbrumby is the Snowy Mountains' most distinctive dining destination. The Stillhouse Cafe sits next to working distillery stills and offers a Continental-influenced menu featuring the distillery's signature gins, schnapps, glühwein and vodka in every drink. The organic raspberry patch, sculpture garden and outdoor terrace make it an exceptional apres-ski detour on the drive back from Thredbo. Reservations recommended on weekends. Famous locally as 'the schnapps place.'",Wildbrumby Distillery & Cafe (Stillhouse Cafe),,,cards_accepted,+61 2 6457 1447,,$$,snowy_mountains,recommended,https://wildbrumby.com/visit-us/distillery-door-cafe/,"Famous for its Snowy Mountains schnapps, gin and vodka – distillery cafe with Austrian-influenced menu, open Thu–Mon.","schnapps (raspberry, elderflower, pear) | gin and tonics with local botanicals | glühwein | daily-changing menu with local produce",https://wildbrumby.com/visit-us/distillery-door-cafe/ | https://www.tripadvisor.com/Restaurant_Review-g1858103-d2625909-Reviews-Wildbrumby_Cafe-Crackenback_New_South_Wales.html | https://discoversnowymountains.com/things-to-do/wild-brumby-distillery-and-cafe/,yes,jindabyne,cafe,,https://wildbrumby.com
"1 Kosciuszko Road, Jindabyne NSW 2627",yes,AU,pub food | modern Australian | pizza | burgers | craft beer,yes,no,,,11:00–late,,11:00–late,,,11:00–late,11:00–late,11:00–late,11:00–late,11:00–late,banjo-paterson-inn-clancys,,21:00,-36.4144,148.6119,"The Banjo Paterson Inn is Jindabyne's quintessential apres-ski hub. Clancy's Brasserie serves pub classics including chicken schnitzel, Caesar salad, grilled Snowy River trout and a full grill selection. The Overflow is the more casual outlet, specialising in burgers and pizzas. Three bars – Musters Bar with outdoor terrace views of Lake Jindabyne, the sports bar and the Kosciuszko Brewhouse – mean there's always somewhere to watch the game or enjoy a Kosciuszko Pale Ale. Live music and nightly events run year-round.",The Banjo Paterson Inn – Clancy's Brasserie & The Overflow,,,cards_accepted,,,$$,snowy_mountains,not_needed,,"Jindabyne's best-known pub complex with two restaurants, three bars and the Kosciuszko Brewhouse pouring craft ales on-site.",Snowy River trout | chicken schnitzel | Kosciuszko Pale Ale | burgers (The Overflow) | pizza (The Overflow),https://www.banjopatersoninn.com.au | https://www.australiantraveller.com/nsw/snowy-mountains/jindabyne/jindabyne-restaurants/,yes,jindabyne,pub,,https://www.banjopatersoninn.com.au
"21 McLure Circuit, Jindabyne NSW 2627",yes,AU,pub food | Australian | steakhouse,yes,no,,,"12:00–15:00, 17:30–21:00",,"12:00–15:00, 17:30–21:00",,,"12:00–15:00, 17:30–21:00","12:00–15:00, 17:30–21:00","12:00–15:00, 17:30–21:00","12:00–15:00, 17:30–21:00","12:00–15:00, 17:30–21:00",lake-jindabyne-hotel-bistro,,20:45,-36.4138,148.6228,"The Lake Jindabyne Hotel Bistro is widely regarded as serving the best pub food in the Snowy Mountains. The menu is classic Australian pub fare – generous steaks, schnitzels, lamb shanks, pork belly, pasta – but executed with care and at pub prices. The outdoor veranda with sweeping lake views and indoor sports bar make it great year-round, and the self-serve sauce station adds a casual, no-fuss vibe. A favourite for locals and visitors alike. 300-seat capacity with waterfront seating.",Lake Jindabyne Hotel Bistro,,,cards_accepted,+61 2 6456 2203,,$$,snowy_mountains,not_needed,,"Lakefront pub bistro famous for legendary steaks, generous serves and panoramic lake views – a Jindabyne local institution.",300g rump steak | chicken parmi | lamb shanks | chicken schnitzel | pizza,https://www.tripadvisor.com/Restaurant_Review-g261617-d8564566-Reviews-Lake_Jindabyne_Hotel_Bistro-Jindabyne_New_South_Wales.html | https://www.agfg.com.au/restaurant/lake-jindabyne-bistro-672,no,jindabyne,pub,,
"2 Clyde Street, Jindabyne NSW 2627",yes,AU,pub food | steakhouse | gastropub,yes,no,,,16:00–00:00,,16:00–00:00,,,16:00–00:00,16:00–00:00,16:00–00:00,16:00–00:00,16:00–00:00,brumby-bar-grill,,21:00,-36.4147,148.6136,"The Brumby Bar & Grill on Clyde Street is a lively gastropub open nightly from 4pm until midnight, making it one of the latest-closing venues in Jindabyne and a solid apres-ski pick. The menu combines classic pub fare (beer-battered fish and chips, schnitzel, burgers, steak) with a rotating selection of local craft beers. The outdoor area and relaxed vibe make it popular with locals and mountain visitors. Kitchen closes well before midnight – check on arrival.",Brumby Bar & Grill,,,cards_accepted,+61 2 6456 2526,,$$,snowy_mountains,not_needed,,"Gastropub open from 4pm to midnight daily, featuring craft beer, innovative pub fare and a strong local following.",chicken schnitzel | beer-battered fish and chips | burgers | steak | craft beer selection,https://www.tripadvisor.com.au/Restaurant_Review-g261617-d5791841-Reviews-Brumby_Bar_Grill-Jindabyne_New_South_Wales.html | https://www.agfg.com.au/restaurant/brumby-bar-grill-680 | https://www.australiantraveller.com/nsw/snowy-mountains/jindabyne/jindabyne-restaurants/,no,jindabyne,pub,,https://www.brumbybarandgrill.com
"Shop 3, Level 2, Snowy Mountains Plaza (Old Town Centre), Jindabyne NSW 2627",no,AU,Persian | Middle Eastern,yes,no,,,18:30–21:30,,closed,,,18:30–21:30,closed,18:30–21:30,18:30–21:30 (winter/school holidays only),18:30–21:30 (winter/school holidays only),cafe-darya,,21:00,-36.4145,148.611,"Cafe Darya is a beloved Snowy Mountains institution offering authentic Persian cuisine in a cosy, unpretentious setting at the Old Town Centre. Dishes like slow-braised camel with chilli, radish, fennel and chickpeas showcase bold Middle Eastern flavours and local produce. The restaurant is BYO (wine and beer) and cash only – making a trip to the bottle shop and ATM beforehand essential. Open Tuesday–Saturday from 6:30pm in winter, Thursday–Saturday off-season.",Cafe Darya,,,cash_only,+61 2 6457 1867,,$$,snowy_mountains,recommended,,"Authentic Persian restaurant – one of the most distinctive dining experiences in the Snowy Mountains, BYO and cash only.","slow-braised camel with chilli, radish, fennel and chickpeas | Persian lamb | baghali polo",https://www.cafedarya.com.au | https://www.agfg.com.au/restaurant/cafe-darya-33503 | https://www.yelp.com/biz/cafe-darya-jindabyne,no,jindabyne,restaurant,,https://www.cafedarya.com.au
"Shop 10C, Nuggets Crossing Shopping Centre / Kosciuszko Road, Jindabyne NSW 2627",yes,AU,Italian | pizza | pasta,yes,no,,,"11:00–14:00, 17:00–00:00",,"11:00–14:00, 17:00–00:00",,,"11:00–14:00, 17:00–00:00","11:00–14:00, 17:00–00:00","11:00–14:00, 17:00–00:00","11:00–14:00, 17:00–00:00","11:00–14:00, 17:00–00:00",bacco-italian-restaurant,,23:45,-36.4148,148.61,"Bacco on Kosciuszko Road is Jindabyne's go-to Italian, serving a broad menu of thin-crust pizzas, house-made pastas, veal scallopini, pollo bacco, affogato and lumberjack cake. It's particularly family-friendly and one of the few places in town open until midnight, making it the best late-night dine-in option. Takeaway pizza and pasta available via a separate phone line. Dine-in is à la carte with BYO wine.",Bacco Italian Restaurant,,,cards_accepted,+61 2 6456 1420,,$$,snowy_mountains,recommended,tel:+61264561420,"Family-friendly Italian restaurant open 7 days with dine-in, BYO wine and late-night takeaway pizza and pasta.",pizzas | pollo bacco | veal scallopini | affogato | lumberjack cake,https://www.baccojindabyne.com | https://www.tripadvisor.com/Restaurant_Review-g261617-d2089263-Reviews-Bacco_Italian_Restaurant-Jindabyne_New_South_Wales.html | https://www.australiantraveller.com/nsw/snowy-mountains/jindabyne/jindabyne-restaurants/,yes,jindabyne,restaurant,,https://www.baccojindabyne.com
